G47,,440514.556,2564318.073,343.522
G48,,440519.481,2564317.702,343.527
G49,,440523.164,2564317.662,343.520
G50,,440527.837,2564318.152,343.508
G51,,440533.035,2564319.023,343.513
G52,,440537.868,2564319.897,343.518
G53,,440543.105,2564320.876,343.527
G54,,440548.586,2564321.840,343.517
G55,,440553.651,2564322.745,343.525
G56,,440559.972,2564323.956,343.529
G57,,440564.544,2564324.840,343.523
G58,,440569.481,2564325.827,343.519
G59,,440574.898,2564326.935,343.518
G60,,440579.275,2564327.880,343.525
G61,,440584.012,2564328.947,343.520
G62,,440583.772,2564335.294,343.529
G63,,440582.788,2564339.786,343.517
G64,,440581.759,2564344.719,343.518
G65,,440580.609,2564349.678,343.517
G66,,440579.257,2564355.129,343.507
G67,,440578.240,2564359.298,343.506
G68,,440577.159,2564363.841,343.502
G69,,440576.241,2564367.428,343.502
G70,,440575.388,2564371.093,343.508
G71,,440574.226,2564375.758,343.514
G72,,440573.097,2564380.495,343.526
G73,,440571.656,2564386.334,343.522
G74,,440570.044,2564392.740,343.538
G75,,440568.943,2564397.268,343.524
G76,,440567.771,2564401.912,343.531
G77,,440566.752,2564406.336,343.549
G78,,440565.339,2564412.135,343.551
G79,,440564.110,2564417.196,343.550
G80,,440563.092,2564421.544,343.568
G81,,440561.332,2564427.782,343.558
G82,,440560.278,2564432.902,343.557
G83,,440559.125,2564437.389,343.552
G84,,440557.962,2564442.298,343.552
G85,,440556.650,2564447.976,343.574
G86,,440555.119,2564454.066,343.595
G87,,440553.770,2564459.460,343.591
G88,,440552.837,2564462.801,343.593
G89,,440479.252,2564438.277,343.524
G90,,440480.726,2564431.096,343.537
G91,,440482.083,2564425.606,343.543
G92,,440483.774,2564419.415,343.532
G93,,440485.268,2564413.483,343.541
G94,,440486.470,2564408.105,343.546
G95,,440488.195,2564401.526,343.545
G96,,440489.648,2564395.519,343.535
G97,,440491.067,2564390.016,343.538
G98,,440492.060,2564385.510,343.534
G99,,440493.435,2564379.517,343.531
G100,,440494.651,2564374.662,343.533
G101,,440495.717,2564370.561,343.539
G102,,440484.893,2564368.503,343.527
G103,,440484.076,2564372.048,343.517
G104,,440483.336,2564375.056,343.525
G105,,440482.326,2564379.334,343.521
G106,,440480.893,2564384.885,343.526
G107,,440479.658,2564389.892,343.527
G108,,440478.471,2564394.666,343.538
G109,,440477.100,2564400.007,343.545
G110,,440476.043,2564404.435,343.554
G111,,440474.600,2564410.346,343.551
G112,,440473.189,2564416.046,343.543
G113,,440472.078,2564420.797,343.538
G114,,440470.904,2564425.657,343.539
G115,,440469.422,2564431.676,343.535
G116,,440468.168,2564436.945,343.535
G117,,440466.483,2564443.983,343.511
G118,,440386.651,2564566.450,344.188
G119,,440392.394,2564569.496,344.317
G120,,440398.795,2564572.408,344.623
G121,,440405.162,2564574.765,345.014
G122,,440412.288,2564576.268,345.372
G123,,440418.015,2564576.755,345.550
G124,,440423.975,2564577.396,345.623
G125,,440430.678,2564578.828,345.693
G126,,440432.582,2564584.768,345.726
G127,,440431.405,2564590.774,345.728
G128,,440430.431,2564596.073,345.899
G129,,440429.680,2564600.587,346.577
G130,,440428.901,2564604.744,347.535
G131,,440428.255,2564608.316,348.516
G132,,440427.144,2564613.512,349.930
G133,,440425.999,2564618.031,350.900
G134,,440424.594,2564623.588,351.656
G135,,440422.496,2564628.233,352.091
G136,,440419.169,2564631.799,352.393
G137,,440415.061,2564634.752,352.546
G138,,440409.775,2564637.455,352.608
G139,,440403.274,2564639.659,352.697
G140,,440394.478,2564640.245,353.086
G141,,440395.159,2564608.338,347.785
G142,,440395.161,2564608.337,347.785
G143,,440379.240,2564600.865,348.826
G144,,440372.765,2564598.841,350.348
G145,,440366.492,2564596.429,350.157
G146,,440358.919,2564597.923,348.635
G147,,440351.655,2564592.653,347.219
G148,,440346.195,2564585.252,346.859
G149,,440340.776,2564579.474,347.332
G150,,440336.556,2564573.287,348.401
G151,,440329.311,2564578.713,349.361
G152,,440320.350,2564581.759,351.462
G153,,440361.799,2564603.667,351.559
G154,,440369.770,2564609.788,352.460
G155,,440333.619,2564536.599,343.434
G156,,440333.181,2564525.363,344.697
G157,,440334.456,2564512.915,346.143
G158,,440333.728,2564498.895,348.135
